transcriptID	WormBaseID	locus	start	stop	VL_am	VL_lm	VL_nil	VC_lm	VC_nil	VR_am	VR_lm	VR_nil	HCON_ortho	HCON_start	HCON_stop	interval_1_status	interval_2_status
F08E10.3	WBGene00005341	srh-123	17473999	17475471	-	-	-	-	-	-	-	Y	-	-	-	-	-
T25E12.13	WBGene00012028	srz-99	16730261	16731464	-	-	-	-	-	-	-	Y	-	-	-	-	-
F08E10.1	WBGene00005442	srh-235	17470223	17471664	-	-	-	-	-	-	-	Y	-	-	-	-	-
F35F10.1	WBGene00018052	-	3316307	3317851	Y	-	-	-	-	-	-	-	-	-	-	-	-
C18C4.1d	WBGene00015964	glb-5	5558890	5564298	-	-	-	-	Y	-	-	-	HCON_00139400-00001	11064564	11070835	-	-
F35F10.11	WBGene00018060	arrd-18	3310123	3312117	Y	-	-	-	-	-	-	-	-	-	-	-	-
F35F10.13	WBGene00018062	-	3318170	3319075	Y	-	-	-	-	-	-	-	-	-	-	-	-
F35F10.12	WBGene00018061	arrd-19	3313244	3315516	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y59A8B.11b	WBGene00013348	fbxa-106	18082406	18085199	-	-	-	-	-	-	-	Y	-	-	-	-	-
T09F5.3	WBGene00006110	str-45	15158991	15160546	-	-	-	-	-	-	-	Y	-	-	-	-	-
T09F5.2	WBGene00011666	-	15150961	15151638	-	-	-	-	-	-	-	Y	-	-	-	-	-
C04E6.9	WBGene00005094	srd-16	5898538	5900040	-	-	-	-	Y	-	-	-	-	-	-	-	-
C04E6.8	WBGene00015424	-	5882563	5883835	-	-	-	-	Y	-	-	-	-	-	-	-	-
Y49A3A.5	WBGene00000877	cyn-1	14356076	14356925	-	-	-	-	-	-	-	Y	-	-	-	-	-
T09F5.5	WBGene00005278	srh-55	15153577	15154994	-	-	-	-	-	-	-	Y	-	-	-	-	-
T15B7.14	WBGene00020526	-	6832243	6835342	-	-	-	Y	-	-	-	-	-	-	-	-	-
T15B7.16	WBGene00020528	lgc-54	6840217	6846607	-	-	-	Y	-	-	-	-	-	-	-	-	-
C04E6.7	WBGene00015423	-	5881849	5895209	-	-	-	-	Y	-	-	-	-	-	-	-	-
C04E6.6	WBGene00001698	grd-9	5895388	5898602	-	-	-	-	Y	-	-	-	-	-	-	-	-
C04E6.5	WBGene00015422	-	5902133	5904843	-	-	-	-	Y	-	-	-	-	-	-	-	-
F09G2.1a	WBGene00017310	-	7200224	7205632	-	-	-	Y	-	-	-	-	HCON_00143540-00001	18134886	18169416	-	-
T28A11.3	WBGene00020870	-	3275333	3276110	Y	-	-	-	-	-	-	-	-	-	-	-	-
T28A11.2	WBGene00020869	-	3280372	3281171	Y	-	-	-	-	-	-	-	-	-	-	-	-
T28A11.1	WBGene00006127	str-64	3283257	3284930	Y	-	-	-	-	-	-	-	-	-	-	-	-
T28A11.7	WBGene00020874	srbc-5	3260375	3262082	Y	-	-	-	-	-	-	-	-	-	-	-	-
T28A11.4	WBGene00020871	-	3274050	3274446	Y	-	-	-	-	-	-	-	-	-	-	-	-
T28A11.9	WBGene00005596	srj-8	3247815	3249140	Y	-	-	-	-	-	-	-	-	-	-	-	-
C31A11.13	WBGene00206534	-	16301804	16302551	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
D1065.1a	WBGene00017034	otpl-2	4073755	4077577	Y	-	-	-	-	-	-	-	-	-	-	-	-
C31A11.10	WBGene00044106	srbc-84	16298969	16299862	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
ZK262.20	WBGene00219370	-	18434511	18435061	-	-	-	-	-	-	-	Y	-	-	-	-	-
F44C8.6a	WBGene00003646	nhr-56	2219004	2221360	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C31A11.3	WBGene00007831	srbc-83	16297370	16298278	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
C14C11.3	WBGene00015767	hex-2	5654449	5658699	-	-	-	-	Y	-	-	-	HCON_00158140-00001	41485643	41496501	Y	-
F35E8.6	WBGene00009420	-	15912148	15913056	-	-	-	-	-	-	-	Y	-	-	-	-	-
T25E12.8	WBGene00012023	clec-34	16735765	16737404	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y73C8B.5a	WBGene00044525	-	3197547	3198333	Y	-	-	-	-	-	-	-	-	-	-	-	-
T06E6.9	WBGene00005471	srh-265	15416251	15417616	-	-	-	-	-	-	-	Y	-	-	-	-	-
F43D2.1	WBGene00009650	ccnk-1	14612432	14613706	-	-	-	-	-	-	-	Y	HCON_00158560-00001	41985822	41988119	Y	-
F53E10.2b	WBGene00000056	acr-17	2608656	2615247	Y	-	Y	-	-	-	-	-	-	-	-	-	-
T06E6.6	WBGene00005463	srh-257	15407228	15411380	-	-	-	-	-	-	-	Y	-	-	-	-	-
T01G5.4	WBGene00005658	srr-7	15128255	15129986	-	-	-	-	-	-	-	Y	-	-	-	-	-
T01G5.5	WBGene00006215	str-171	15130384	15132523	-	-	-	-	-	-	-	Y	-	-	-	-	-
T01G5.6	WBGene00011341	-	15113781	15114092	-	-	-	-	-	-	-	Y	-	-	-	-	-
T01G5.7	WBGene00011342	-	15111960	15113611	-	-	-	-	-	-	-	Y	-	-	-	-	-
K07C6.10	WBGene00005958	srx-67	3917419	3918446	Y	-	-	-	-	-	-	-	-	-	-	-	-
T01G5.1	WBGene00011339	-	15116844	15119621	-	-	-	-	-	-	-	Y	-	-	-	-	-
T01G5.3	WBGene00005615	srj-27	15126212	15127513	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06E6.5	WBGene00011539	fbxa-135	15402268	15404399	-	-	-	-	-	-	-	Y	-	-	-	-	-
T20B3.12	WBGene00011852	clec-26	16848611	16850130	-	-	-	-	-	-	-	Y	-	-	-	-	-
T20B3.13	WBGene00011853	clec-40	16839121	16841061	-	-	-	-	-	-	-	Y	-	-	-	-	-
T20B3.15	WBGene00044331	clec-25	16843241	16844706	-	-	-	-	-	-	-	Y	-	-	-	-	-
T20B3.16	WBGene00044332	clec-36	16846811	16848598	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06E6.3	WBGene00005931	fbxa-199	15397385	15398828	-	-	-	-	-	-	-	Y	-	-	-	-	-
C10G8.8a	WBGene00015684	-	5324806	5328470	-	-	-	-	Y	-	-	-	HCON_00152250-00001	32802709	32812031	-	-
F08H9.4a	WBGene00008592	-	14463588	14464428	-	-	-	-	-	-	-	Y	-	-	-	-	-
C15H11.4	WBGene00000985	dhs-22	14420069	14421450	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06E6.1	WBGene00011538	-	15393108	15394961	-	-	-	-	-	-	-	Y	HCON_00153470-00001	34842865	34848821	-	-
T21H3.1a	WBGene00020662	-	1176724	1178864	-	-	Y	-	-	-	-	-	-	-	-	-	-
ZK228.8	WBGene00005393	srh-178	18478417	18480331	-	-	-	-	-	-	-	Y	-	-	-	-	-
C38D9.2	WBGene00008010	-	17567513	17571703	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y51A2B.5	WBGene00013069	-	18389277	18391349	-	-	-	-	-	-	-	Y	-	-	-	-	-
K09D9.14	WBGene00269424	-	4020728	4021876	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y5H2A.1	WBGene00021162	-	2271113	2271861	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C47E8.7	WBGene00006836	unc-112	14691851	14697107	-	-	-	-	-	-	-	Y	HCON_00151550-00001	31916722	31924599	-	-
C47E8.5	WBGene00000915	hsp-90	14684918	14688543	-	-	-	-	-	-	-	Y	HCON_00136990-00001	8023854	8027468	-	-
Y5H2A.2	WBGene00021163	nhr-275	2264909	2267058	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C47E8.1	WBGene00008141	-	14666005	14667158	-	-	-	-	-	-	-	Y	-	-	-	-	-
T27C4.2a	WBGene00020855	hpo-36	3727253	3739401	Y	-	-	-	-	-	-	-	HCON_00138470-00001	9968290	9986025	-	-
Y57E12B.10	WBGene00202501	-	6935553	6935863	-	-	-	Y	-	-	-	-	-	-	-	-	-
Y5H2A.3	WBGene00000027	abu-4	2274842	2275977	Y	-	Y	-	-	-	-	-	-	-	-	-	-
K04A8.4a	WBGene00006665	twk-10	6552340	6560256	-	-	-	Y	-	-	-	-	HCON_00148710-00001	27396118	27408862	-	-
Y102A5C.40	WBGene00077624	-	16986460	16987135	-	-	-	-	-	-	-	Y	-	-	-	-	-
F47B8.5b	WBGene00009806	-	14325787	14327876	-	-	-	-	-	-	-	Y	-	-	-	-	-
C41G6.12	WBGene00008058	-	15207088	15207781	-	-	-	-	-	-	-	Y	-	-	-	-	-
C41G6.13	WBGene00008059	-	15208422	15209332	-	-	-	-	-	-	-	Y	-	-	-	-	-
F14D7.8	WBGene00008795	-	14311882	14312788	-	-	-	-	-	-	-	Y	-	-	-	-	-
C41G6.15	WBGene00005760	srw-13	15232500	15233844	-	-	-	-	-	-	-	Y	-	-	-	-	-
F14D7.3	WBGene00008790	-	14296799	14297222	-	-	-	-	-	-	-	Y	-	-	-	-	-
F14D7.2	WBGene00008789	-	14291905	14293716	-	-	-	-	-	-	-	Y	-	-	-	-	-
F14D7.1	WBGene00008788	-	14288733	14289718	-	-	-	-	-	-	-	Y	-	-	-	-	-
F14D7.7	WBGene00008794	-	14306468	14306871	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y80D3A.2a	WBGene00001258	emb-4	18860285	18894974	-	-	-	-	-	-	-	Y	HCON_00142690-00001	16780208	16793150	-	-
Y37H2A.12a	WBGene00044758	-	18129152	18131125	-	-	-	-	-	-	-	Y	-	-	-	-	-
F21D9.3	WBGene00009017	-	19257583	19257787	-	-	-	-	-	-	-	Y	-	-	-	-	-
F44C8.2	WBGene00003724	nhr-134	2231020	2233387	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F44C8.3	WBGene00003617	nhr-18	2227203	2228981	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F44C8.1	WBGene00018413	cyp-33C4	2236140	2237999	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F44C8.7	WBGene00018414	nstp-8	2215652	2218160	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F44C8.4	WBGene00003693	nhr-103	2225430	2227070	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F40G12.15	WBGene00044002	srt-74	14281120	14282322	-	-	-	-	-	-	-	Y	-	-	-	-	-
T08G5.1	WBGene00011622	-	14018766	14020332	-	-	-	-	-	-	-	Y	-	-	-	-	-
T08G5.2	WBGene00011623	-	14024838	14025656	-	-	-	-	-	-	-	Y	-	-	-	-	-
T08G5.7	WBGene00011626	-	14044374	14045217	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y49G5A.1	WBGene00021731	-	5286343	5287373	-	-	-	-	Y	-	-	-	-	-	-	-	-
C45H4.16	WBGene00016696	srbc-19	2164788	2166779	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C45H4.15	WBGene00006281	str-255	2161500	2163835	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C45H4.13	WBGene00016694	-	2150091	2150976	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C45H4.12	WBGene00006117	str-52	2145485	2146144	Y	-	Y	-	-	-	-	-	-	-	-	-	-
T10B5.7a	WBGene00020393	-	1846201	1848015	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C45H4.10	WBGene00016692	srbc-24	2151762	2153010	Y	-	Y	-	-	-	-	-	-	-	-	-	-
W02H5.2	WBGene00020957	-	2639335	2647071	Y	Y	Y	-	-	-	-	-	HCON_00145140-00001	21068661	21072437	-	-
F59B1.9a	WBGene00000062	acr-23	3651659	3659572	Y	-	-	-	-	-	-	-	-	-	-	-	-
T05H4.4	WBGene00020267	-	6438901	6440096	-	-	-	Y	-	-	-	-	-	-	-	-	-
T05H4.5	WBGene00020268	hpo-19	6436578	6437884	-	-	-	Y	-	-	-	-	-	-	-	-	-
Y45G12C.2a	WBGene00001758	gst-10	2561690	2564701	Y	-	Y	-	-	-	-	-	-	-	-	-	-
T05H4.1	WBGene00020264	acl-8	6450870	6453118	-	-	-	Y	-	-	-	-	HCON_00163450-00001	48313426	48341550	-	-
T05H4.2	WBGene00020265	fbxa-196	6448656	6450217	-	-	-	Y	-	-	-	-	-	-	-	-	-
T05H4.3	WBGene00020266	-	6442337	6447556	-	-	-	Y	-	-	-	-	-	-	-	-	-
F27E11.2	WBGene00017868	slc-28.2	3459740	3463087	Y	-	-	-	-	-	-	-	-	-	-	-	-
F27E11.3	WBGene00000478	cfz-2	3441504	3444877	Y	-	-	-	-	-	-	-	HCON_00158190-00001	41592297	41598580	Y	-
T06C12.2	WBGene00006122	str-57	15871170	15872351	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06C12.3	WBGene00006121	str-56	15872573	15873770	-	-	-	-	-	-	-	Y	-	-	-	-	-
CD4.11	WBGene00044542	-	5585182	5591603	-	-	-	-	Y	-	-	-	HCON_00146600-00001	24059783	24077756	-	-
T06C12.6	WBGene00003692	nhr-102	15874093	15876408	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06C12.4	WBGene00011513	fbxa-197	15867679	15869051	-	-	-	-	-	-	-	Y	-	-	-	-	-
F10G2.3	WBGene00017364	clec-7	7328392	7330113	-	-	-	Y	-	-	-	-	-	-	-	-	-
F10G2.2	WBGene00017363	-	7331168	7331779	-	-	-	Y	-	-	-	-	-	-	-	-	-
F10G2.1	WBGene00017362	-	7332553	7333354	-	-	-	Y	-	-	-	-	-	-	-	-	-
H27D07.3a	WBGene00005890	srw-143	2939603	2941505	Y	Y	Y	-	-	-	-	-	-	-	-	-	-
F10G2.7	WBGene00017366	-	7335866	7337300	-	-	-	Y	-	-	-	-	-	-	-	-	-
F10G2.4	WBGene00017365	-	7327135	7327856	-	-	-	Y	-	-	-	-	-	-	-	-	-
F28F8.6	WBGene00006446	atx-3	15575395	15576887	-	-	-	-	-	-	-	Y	-	-	-	-	-
F10G2.9	WBGene00017367	nhr-263	7340406	7342042	-	-	-	Y	-	-	-	-	-	-	-	-	-
F10G2.8	WBGene00005402	srh-187	7338593	7339931	-	-	-	Y	-	-	-	-	-	-	-	-	-
F28F8.3	WBGene00003079	lsm-5	15569935	15570736	-	-	-	-	-	-	-	Y	HCON_00154410-00001	36445562	36447199	-	-
F55B12.3a	WBGene00004767	sel-10	13818119	13823091	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y80D3A.1	WBGene00006945	wars-1	18852703	18859221	-	-	-	-	-	-	-	Y	HCON_00142670-00001	16768607	16774771	-	-
D1086.8a	WBGene00008395	-	14094105	14097115	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y102A5C.33	WBGene00013629	srz-95	16992034	16993910	-	-	-	-	-	-	-	Y	-	-	-	-	-
T08G5.5b	WBGene00011625	vps-39	14034323	14038372	-	-	-	-	-	-	-	Y	HCON_00138270-00001	9783471	9790667	-	-
C04E12.7	WBGene00015437	scrm-3	3355731	3357209	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y46H3D.4	WBGene00021609	irld-17	1632017	1635883	-	-	Y	-	-	-	-	-	-	-	-	-	-
C04E12.4	WBGene00015434	-	3362775	3368344	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y46H3D.2	WBGene00006252	str-221	1640308	1642287	-	-	Y	-	-	-	-	-	-	-	-	-	-
Y46H3D.3	WBGene00006253	str-222	1636159	1639281	-	-	Y	-	-	-	-	-	-	-	-	-	-
Y46H3D.1	WBGene00021608	-	1642499	1643121	-	-	Y	-	-	-	-	-	-	-	-	-	-
T10C6.15a	WBGene00050899	-	16044294	16045940	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
T08B1.4b	WBGene00020341	-	1977962	1982692	Y	-	Y	-	-	-	-	-	HCON_00152850-00001	33678762	33686822	-	-
Y46H3D.8	WBGene00021612	-	1630309	1631248	-	-	Y	-	-	-	-	-	-	-	-	-	-
C04E12.8	WBGene00006012	srx-121	3370942	3372773	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y6G8.16	WBGene00194801	-	17606350	17606964	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y6G8.14	WBGene00138715	-	17613751	17614357	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y6G8.15	WBGene00189937	-	17609999	17610609	-	-	-	-	-	-	-	Y	-	-	-	-	-
F16B4.6a	WBGene00017508	-	1587206	1587982	-	-	Y	-	-	-	-	-	-	-	-	-	-
R12A1.2a	WBGene00004925	snt-5	1393112	1411616	-	-	Y	-	-	-	-	-	HCON_00151210-00001	31432733	31482999	-	-
C24G6.2a	WBGene00016059	hir-1	5522139	5530737	-	-	-	-	Y	-	-	-	HCON_00157730-00001	40981402	40992651	Y	-
F13H6.5	WBGene00017433	-	6372111	6374944	-	-	-	Y	-	-	-	-	-	-	-	-	-
T23F1.6	WBGene00004153	pqn-71	15465677	15467099	-	-	-	-	-	-	-	Y	-	-	-	-	-
T15B7.15	WBGene00020527	-	6836695	6838665	-	-	-	Y	-	-	-	-	-	-	-	-	-
T09F5.9	WBGene00011668	clec-47	15175673	15176324	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y50D4A.4a	WBGene00021738	-	1184874	1196146	-	-	Y	-	-	-	-	-	-	-	-	-	-
F36G9.11	WBGene00009487	clec-232	15976147	15977617	-	-	-	-	-	-	Y	Y	-	-	-	-	-
F16B4.5b	WBGene00017507	-	1588548	1591727	-	-	Y	-	-	-	-	-	-	-	-	-	-
F44G3.10	WBGene00009710	-	16138760	16139627	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
T15B7.12	WBGene00020524	dmsr-13	6817890	6819912	-	-	-	Y	-	-	-	-	-	-	-	-	-
B0391.9	WBGene00007164	fbxa-139	15593391	15593823	-	-	-	-	-	-	-	Y	-	-	-	-	-
B0391.6	WBGene00007163	fbxa-154	15602915	15605155	-	-	-	-	-	-	-	Y	-	-	-	-	-
B0391.4	WBGene00006080	str-12	15610890	15612591	-	-	-	-	-	-	-	Y	-	-	-	-	-
T15B7.13	WBGene00020525	dmsr-15	6827071	6828886	-	-	-	Y	-	-	-	-	-	-	-	-	-
B0462.5	WBGene00194695	-	18322215	18323331	-	-	-	-	-	-	-	Y	-	-	-	-	-
F09C6.6	WBGene00008618	fbxa-45	16898457	16899455	-	-	-	-	-	-	-	Y	-	-	-	-	-
F09F3.1a	WBGene00006021	srx-130	13843447	13844962	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y46H3D.5b	WBGene00003700	nhr-110	1622264	1624433	-	-	Y	-	-	-	-	-	-	-	-	-	-
B0462.4	WBGene00007183	-	18329112	18331179	-	-	-	-	-	-	-	Y	-	-	-	-	-
F59B1.2	WBGene00019097	-	3632361	3634685	Y	-	-	-	-	-	-	-	-	-	-	-	-
F59B1.3	WBGene00005984	srx-93	3619459	3620708	Y	-	-	-	-	-	-	-	-	-	-	-	-
T26E4.4	WBGene00012046	-	15790207	15792509	-	-	-	-	-	-	-	Y	-	-	-	-	-
F59B1.6	WBGene00019099	-	3629473	3631691	Y	-	-	-	-	-	-	-	-	-	-	-	-
F59B1.7	WBGene00005932	srx-41	3634564	3637179	Y	-	-	-	-	-	-	-	-	-	-	-	-
F59B1.4	WBGene00019098	-	3624445	3627044	Y	-	-	-	-	-	-	-	-	-	-	-	-
T26E4.1	WBGene00012043	irld-52	15779693	15781179	-	-	-	-	-	-	-	Y	-	-	-	-	-
F59B1.8	WBGene00019100	-	3641858	3644243	Y	-	-	-	-	-	-	-	-	-	-	-	-
T26E4.8	WBGene00012050	nhr-223	15796387	15797534	-	-	-	-	-	-	-	Y	-	-	-	-	-
T10H9.5a	WBGene00004062	pmp-5	6662191	6665813	-	-	-	Y	-	-	-	-	-	-	-	-	-
T24A6.6a	WBGene00006286	str-260	3527182	3530413	Y	-	-	-	-	-	-	-	-	-	-	-	-
Y69H2.7b	WBGene00013482	-	18689989	18696069	-	-	-	-	-	-	-	Y	-	-	-	-	-
C47E8.9a	WBGene00008146	-	14663306	14665927	-	-	-	-	-	-	-	Y	HCON_00137040-00001	8089113	8095223	-	-
C47E8.4a	WBGene00008143	-	14683698	14685485	-	-	-	-	-	-	-	Y	HCON_00137000-00001	8029636	8033127	-	-
T27C5.12	WBGene00044059	-	17415251	17416748	-	-	-	-	-	-	-	Y	-	-	-	-	-
C38D9.9	WBGene00008017	fbxa-176	17549675	17551209	-	-	-	-	-	-	-	Y	-	-	-	-	-
C38D9.6	WBGene00008014	fbxa-172	17559246	17561612	-	-	-	-	-	-	-	Y	-	-	-	-	-
B0213.17	WBGene00015046	nlp-34	3974103	3979134	Y	-	-	-	-	-	-	-	-	-	-	-	-
T05H4.13d	WBGene00000110	alh-4	6427209	6429914	-	-	-	Y	-	-	-	-	-	-	-	-	-
Y37H2C.4	WBGene00012575	-	18270703	18272256	-	-	-	-	-	-	-	Y	-	-	-	-	-
F28F8.7a	WBGene00009224	-	15578707	15585364	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y46H3B.1a	WBGene00021602	clec-205	1760861	1765384	Y	-	Y	-	-	-	-	-	-	-	-	-	-
Y102A5C.15	WBGene00005416	srh-206	16953754	16954866	-	-	-	-	-	-	-	Y	-	-	-	-	-
F59A1.3	WBGene00006150	str-92	17674946	17676653	-	-	-	-	-	-	-	Y	-	-	-	-	-
F44C8.10	WBGene00003716	nhr-126	2229081	2231189	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F44C8.11	WBGene00003686	nhr-96	2233477	2235180	Y	-	Y	-	-	-	-	-	-	-	-	-	-
C47A10.4	WBGene00008126	sre-21	17769653	17773208	-	-	-	-	-	-	-	Y	-	-	-	-	-
F20G2.5	WBGene00008988	-	13771508	13773700	-	-	-	-	-	-	-	Y	-	-	-	-	-
F20G2.2	WBGene00008986	-	13755011	13756409	-	-	-	-	-	-	-	Y	-	-	-	-	-
F20G2.1	WBGene00008985	-	13752265	13753581	-	-	-	-	-	-	-	Y	-	-	-	-	-
C01G10.11f	WBGene00006808	unc-76	15071756	15080150	-	-	-	-	-	-	-	Y	HCON_00157560-00001	40587051	40619748	Y	-
Y69H2.2	WBGene00013480	egas-3	18628655	18636348	-	-	-	-	-	-	-	Y	-	-	-	-	-
Y69H2.6	WBGene00006714	ubc-19	18686315	18689762	-	-	-	-	-	-	-	Y	HCON_00163290-00002	47877935	47913550	-	Y
Y69H2.9	WBGene00013484	-	18701538	18706098	-	-	-	-	-	-	-	Y	-	-	-	-	-
K04A8.5a	WBGene00019376	lipl-4	6550171	6551846	-	-	-	Y	-	-	-	-	-	-	-	-	-
C25D7.15a	WBGene00007722	-	15059808	15061532	-	-	-	-	-	-	-	Y	HCON_00151690-00001	32122860	32124851	-	-
ZC376.3	WBGene00013875	cest-2.1	14168362	14171481	-	-	-	-	-	-	-	Y	-	-	-	-	-
C47E8.6	WBGene00008144	gasr-8	14689110	14691963	-	-	-	-	-	-	-	Y	HCON_00136980-00001	8010457	8022700	-	-
T06A1.1	WBGene00020277	-	1923116	1925581	Y	-	Y	-	-	-	-	-	-	-	-	-	-
T06A1.5	WBGene00020280	-	1927223	1931413	Y	-	Y	-	-	-	-	-	-	-	-	-	-
F22F7.5a	WBGene00000514	ckb-4	2106400	2109427	Y	-	Y	-	-	-	-	-	-	-	-	-	-
W08A12.2a	WBGene00021079	-	3684662	3685830	Y	-	-	-	-	-	-	-	-	-	-	-	-
T06C12.10	WBGene00011517	cgt-1	15886716	15888851	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06C12.12	WBGene00011519	-	15892061	15892520	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06C12.14	WBGene00011521	-	15899996	15900900	-	-	-	-	-	-	-	Y	-	-	-	-	-
F28G4.1	WBGene00009226	cyp-37B1	16278191	16280616	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F28G4.2	WBGene00009227	-	16280602	16282321	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F28G4.3	WBGene00009228	-	16286095	16287719	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F28G4.4	WBGene00009229	-	16282936	16285894	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
R02D5.6b	WBGene00010979	-	14511706	14514532	-	-	-	-	-	-	-	Y	-	-	-	-	-
F40G12.10	WBGene00009605	-	14283528	14285327	-	-	-	-	-	-	-	Y	-	-	-	-	-
D1086.2a	WBGene00008389	-	14096944	14098668	-	-	-	-	-	-	-	Y	-	-	-	-	-
F11A5.18	WBGene00045511	-	16202809	16204862	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F11A5.17	WBGene00045510	-	16202030	16202772	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F11A5.16	WBGene00044184	-	16210952	16211454	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F11A5.15	WBGene00008680	-	16217675	16218620	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
ZK384.6	WBGene00077655	asp-19	18728703	18729374	-	-	-	-	-	-	-	Y	-	-	-	-	-
F11A5.13	WBGene00008679	-	16226013	16226681	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
F16B4.10	WBGene00017511	srbc-41	1612803	1614826	-	-	Y	-	-	-	-	-	-	-	-	-	-
ZK384.3	WBGene00013973	asp-18	18730174	18731679	-	-	-	-	-	-	-	Y	-	-	-	-	-
F11A5.10	WBGene00001591	glc-1	16219541	16221917	-	-	-	-	-	Y	Y	Y	-	-	-	-	-
ZK697.1	WBGene00022804	-	1752796	1753856	-	-	Y	-	-	-	-	-	-	-	-	-	-
