OG0002185: 2L52.1a HCON_00053970-00001
OG0002254: B0250.9 HCON_00154480-00001
OG0002255: B0252.1 HCON_00109240-00001
OG0002256: B0252.2 HCON_00061280-00001
OG0002257: B0252.3b HCON_00061290-00001
OG0002258: B0252.4b HCON_00123750-00001
OG0002259: B0261.1 HCON_00028080-00001
OG0002260: B0261.2a HCON_00025670-00001
OG0002261: B0261.4a HCON_00105525-00001
OG0002262: B0261.6a HCON_00107650-00001
OG0002263: B0272.1 HCON_00164580-00001
OG0002264: B0272.2 HCON_00013230-00001
OG0002265: B0272.3 HCON_00166680-00001
OG0002266: B0272.4 HCON_00164680-00001
OG0002267: B0273.4c HCON_00103970-00002
OG0002268: B0280.10a HCON_00017420-00001
OG0002270: B0280.12b HCON_00083810-00001
OG0002271: B0280.17 HCON_00066940-00001
OG0002272: B0280.1a HCON_00127580-00001
OG0002273: B0280.3 HCON_00067870-00001
OG0002275: B0280.9 HCON_00037800-00001
OG0002276: B0285.1b HCON_00070880-00001
OG0002277: B0285.4 HCON_00102360-00001
OG0002278: B0285.5 HCON_00071340-00001
OG0002279: B0285.6 HCON_00068930-00001
OG0002280: B0285.7 HCON_00089225-00001
OG0002281: B0286.1 HCON_00042600-00001
OG0002282: B0286.2a HCON_00041640-00002
OG0002283: B0286.3 HCON_00056410-00001
OG0002284: B0286.4a HCON_00042610-00001
OG0002285: B0286.5 HCON_00192380-00001
OG0002286: B0302.5 HCON_00185910-00001
OG0002287: B0303.11b HCON_00076340-00001
OG0002288: B0303.14 HCON_00070230-00001
OG0002289: B0303.15 HCON_00095790-00001
OG0002290: B0303.2 HCON_00092290-00001
OG0002291: B0303.3 HCON_00071240-00001
OG0002292: B0303.4 HCON_00070960-00001
OG0002293: B0303.7a HCON_00086800-00001
OG0002294: B0303.9 HCON_00070250-00001
OG0002295: B0304.1b HCON_00041990-00001
OG0002296: B0304.3 HCON_00042000-00001
OG0002297: B0310.1b HCON_00184810-00001
OG0002298: B0310.2a HCON_00184780-00001
OG0002299: B0331.2 HCON_00136350-00001
OG0002300: B0334.1 HCON_00046510-00001
OG0002301: B0334.11a HCON_00056480-00001
OG0002302: B0334.2a HCON_00040990-00001
OG0002303: B0334.3a HCON_00059380-00001
OG0002304: B0334.4 HCON_00060280-00001
OG0002305: B0334.5 HCON_00060260-00001
OG0002306: B0334.6 HCON_00063930-00001
OG0002307: B0334.8a HCON_00034230-00001
OG0002308: B0336.10 HCON_00192160-00001
OG0002309: B0336.11a HCON_00070650-00001
OG0002310: B0336.1a HCON_00070520-00001
OG0002311: B0336.2 HCON_00070580-00001
OG0002312: B0336.4a HCON_00068530-00001
OG0002313: B0336.5b HCON_00110670-00001
OG0002314: B0336.6 HCON_00080650-00001
OG0002315: B0336.9d HCON_00092280-00001
OG0002316: B0348.4d HCON_00134420-00001
OG0002317: B0348.6b HCON_00133690-00001
OG0002318: B0350.2f HCON_00125210-00003
OG0002319: B0353.1b HCON_00090420-00001
OG0002320: B0361.2a HCON_00081470-00001
OG0002321: B0361.3 HCON_00190240-00001
OG0002322: B0361.4 HCON_00093040-00001
OG0002323: B0361.5b HCON_00075930-00001
OG0002324: B0361.6 HCON_00075940-00001
OG0002325: B0361.7 HCON_00070400-00001
OG0002326: B0361.8 HCON_00070390-00001
OG0002327: B0361.9 HCON_00193030-00001
OG0002328: B0365.3 HCON_00149700-00001
OG0002329: B0365.9 HCON_00149640-00001
OG0002330: B0379.1a HCON_00033420-00001
OG0002331: B0379.4b HCON_00001890-00002
OG0002333: B0393.1 HCON_00095260-00001
OG0002334: B0393.2 HCON_00095250-00001
OG0002335: B0393.3 HCON_00090110-00001
OG0002336: B0393.4 HCON_00111250-00001
OG0002337: B0393.5 HCON_00089720-00001
OG0002338: B0393.6 HCON_00066800-00001
OG0002339: B0393.7 HCON_00083680-00001
OG0002340: B0393.9b HCON_00077250-00001
OG0002341: B0395.2 HCON_00017040-00001
OG0002342: B0395.3 HCON_00045260-00001
OG0002343: B0399.1a HCON_00146080-00001
OG0002344: B0403.6 HCON_00165130-00001
OG0002345: B0410.2a HCON_00188410-00001
OG0002346: B0410.3 HCON_00189850-00001
OG0002347: B0412.1a HCON_00093340-00002
OG0002348: B0412.2 HCON_00074370-00001
OG0002349: B0412.3a HCON_00074360-00001
OG0002350: B0414.2 HCON_00030450-00001
OG0002351: B0414.5 HCON_00030440-00001
OG0002352: B0414.7b HCON_00026980-00001
OG0002353: B0414.8a HCON_00026990-00001
OG0002354: B0416.3 HCON_00165880-00001
OG0002355: B0432.10 HCON_00064280-00001
OG0002356: B0432.13 HCON_00059750-00001
OG0002357: B0432.4 HCON_00002890-00001
OG0002358: B0432.5a HCON_00041700-00001
OG0002359: B0432.7a HCON_00047980-00001
OG0002360: B0432.8 HCON_00059760-00001
OG0002361: B0432.9 HCON_00049995-00001
OG0002362: B0457.1a HCON_00053390-00001
OG0002363: B0457.2 HCON_00134960-00001
OG0002365: B0464.1 HCON_00084530-00001
OG0002366: B0464.2a HCON_00065980-00001
OG0002367: B0464.4a HCON_00074470-00001
OG0002368: B0464.5a HCON_00068190-00001
OG0002369: B0464.6 HCON_00078630-00001
OG0002370: B0464.7 HCON_00166245-00001
OG0002371: B0464.9 HCON_00094090-00001
OG0002372: B0478.1a HCON_00111580-00001
OG0002373: B0491.1 HCON_00057600-00001
OG0002374: B0491.4a HCON_00034670-00001
OG0002375: B0491.5 HCON_00034660-00001
OG0002376: B0491.7 HCON_00057605-00001
OG0002377: B0491.8a HCON_00058690-00001
OG0002378: B0495.10a HCON_00048380-00001
OG0002379: B0495.5 HCON_00051160-00001
OG0002380: B0495.6 HCON_00192920-00001
OG0002381: B0495.7 HCON_00050990-00001
OG0002382: B0495.8a HCON_00051000-00001
OG0002383: B0495.9 HCON_00051010-00001
OG0002384: B0496.3e HCON_00116460-00001
OG0002385: B0496.5 HCON_00114840-00001
OG0002387: B0496.8 HCON_00123680-00001
OG0002388: B0507.1 HCON_00141590-00001
OG0002390: B0507.2 HCON_00147010-00001
OG0002392: B0511.1 HCON_00022500-00001
OG0002393: B0511.10 HCON_00024860-00001
OG0002394: B0511.11 HCON_00022990-00001
OG0002395: B0511.12a HCON_00040140-00001
OG0002396: B0511.13b HCON_00024790-00001
OG0002397: B0511.5 HCON_00007480-00001
OG0002398: B0511.6 HCON_00001700-00001
OG0002399: B0511.7 HCON_00007465-00001
OG0002400: B0511.8 HCON_00024800-00001
OG0002401: B0513.2a HCON_00097620-00001
OG0002402: B0513.3a HCON_00097625-00001
OG0002403: B0513.5a HCON_00106330-00002
OG0002404: B0523.5 HCON_00092300-00001
OG0002405: B0545.1a HCON_00110350-00001
OG0002406: B0546.1 HCON_00072750-00001
OG0002407: B0546.2a HCON_00194020-00001
OG0002408: B0546.4a HCON_00068250-00001
OG0002409: B0547.1 HCON_00118450-00001
OG0002411: B0563.2a HCON_00171060-00002
OG0002412: B0563.7 HCON_00171030-00001
OG0002413: B0564.10b HCON_00102310-00001
OG0002415: B0564.1a HCON_00102350-00001
OG0002417: B0564.2a HCON_00102320-00001
OG0002418: B0564.7a HCON_00102340-00001
OG0002419: BE0003N10.1 HCON_00166560-00001
OG0002420: BE0003N10.2 HCON_00092890-00001
OG0002421: BE10.2 HCON_00072365-00001
OG0002422: BE10.4 HCON_00074480-00001
OG0002424: C01A2.2a HCON_00006770-00001
OG0002425: C01A2.3 HCON_00011790-00001
OG0002426: C01A2.4 HCON_00011820-00001
OG0002427: C01A2.5 HCON_00011795-00001
OG0002428: C01B10.11 HCON_00111150-00001
OG0002429: C01B10.3 HCON_00125900-00001
OG0002430: C01B10.8 HCON_00125910-00001
OG0002431: C01B10.9 HCON_00125920-00001
OG0002432: C01B12.1 HCON_00051475-00001
OG0002433: C01B12.4 HCON_00051415-00001
OG0002434: C01B7.1c HCON_00142810-00001
OG0002435: C01B7.4a HCON_00149950-00003
OG0002436: C01C10.1a HCON_00087720-00001
OG0002437: C01C10.2b HCON_00166880-00001
OG0002438: C01C10.4 HCON_00087730-00001
OG0002439: C01C4.2 HCON_00186670-00001
OG0002440: C01C4.3f HCON_00186680-00002
OG0002441: C01C7.1a HCON_00124290-00002
OG0002442: C01F1.1 HCON_00044440-00001
OG0002443: C01F1.3a HCON_00047680-00001
OG0002444: C01F1.4 HCON_00047600-00001
OG0002445: C01F1.5 HCON_00047610-00001
OG0002446: C01F4.2a HCON_00020940-00001
OG0002447: C01F6.1 HCON_00097590-00001
OG0002448: C01F6.2 HCON_00115650-00001
OG0002449: C01F6.4a HCON_00014430-00001
OG0002450: C01F6.6b HCON_00119540-00002
OG0002451: C01F6.8b HCON_00117415-00001
OG0002452: C01G10.10a HCON_00157540-00001
OG0002453: C01G10.11f HCON_00157560-00001
OG0002454: C01G10.12 HCON_00163630-00001
OG0002455: C01G10.7 HCON_00160170-00001
OG0002456: C01G10.8 HCON_00160130-00001
OG0002457: C01G10.9 HCON_00188160-00001
OG0002458: C01G12.1 HCON_00059580-00001
OG0002460: C01G12.8 HCON_00119290-00001
OG0002461: C01G5.25 HCON_00113125-00001
OG0002462: C01G5.6 HCON_00121050-00001
OG0002463: C01G5.7b HCON_00048980-00001
OG0002464: C01G5.8a HCON_00140650-00001
OG0002465: C01G6.1a HCON_00037080-00001
OG0002466: C01G6.3 HCON_00037050-00001
OG0002467: C01G6.4 HCON_00037380-00001
OG0002468: C01G6.5 HCON_00047150-00003
OG0002469: C01G6.6a HCON_00041860-00001
OG0002470: C01G6.7 HCON_00042450-00001
OG0002471: C01G6.8a HCON_00047290-00001
OG0002472: C01G6.9 HCON_00061314-00001
OG0002473: C01G8.2 HCON_00003850-00001
OG0002474: C01G8.3 HCON_00008190-00001
OG0002475: C01G8.4 HCON_00008180-00001
OG0002476: C01G8.5b HCON_00010255-00001
OG0002477: C01G8.9c HCON_00031510-00001
OG0002478: C01H6.2 HCON_00008350-00001
OG0002479: C01H6.3 HCON_00016440-00001
OG0002481: C01H6.5a HCON_00028430-00001
OG0002482: C01H6.6 HCON_00089580-00001
OG0002483: C01H6.7a HCON_00009530-00001
OG0002484: C02B10.1 HCON_00101010-00001
OG0002485: C02B10.2 HCON_00034770-00001
OG0002486: C02B10.3 HCON_00104580-00001
OG0002487: C02B10.5a HCON_00102860-00001
OG0002488: C02B4.2 HCON_00023750-00001
OG0002489: C02B8.4 HCON_00079320-00001
OG0002490: C02C2.3 HCON_00083560-00001
OG0002491: C02C2.5 HCON_00116465-00001
OG0002492: C02C6.1b HCON_00042770-00001
OG0002493: C02C6.2a HCON_00181510-00001
OG0002494: C02C6.3a HCON_00166420-00001
OG0002495: C02D4.2e HCON_00188280-00001
OG0002496: C02D5.2a HCON_00044470-00001
OG0002497: C02E11.1b HCON_00092900-00001
OG0002498: C02F12.3 HCON_00188780-00001
OG0002499: C02F4.1 HCON_00099390-00001
OG0002500: C02F4.2b HCON_00121570-00001
OG0002501: C02F4.4 HCON_00101900-00001
OG0002502: C02F5.1 HCON_00037900-00001
OG0002504: C02F5.13 HCON_00191870-00001
OG0002505: C02F5.3 HCON_00084760-00001
OG0002506: C02F5.4 HCON_00084770-00001
OG0002507: C02F5.6b HCON_00073140-00001
OG0002508: C02F5.7b HCON_00072860-00001
OG0002509: C02F5.9 HCON_00059970-00001
OG0002510: C02H7.1 HCON_00014570-00001
OG0002511: C03A3.1a HCON_00165210-00001
OG0002512: C03A3.2 HCON_00169590-00003
OG0002513: C03A3.3 HCON_00097995-00001
OG0002514: C03B1.12 HCON_00166570-00001
OG0002515: C03B8.3 HCON_00090780-00001
OG0002516: C03C10.1 HCON_00193970-00001
OG0002517: C03C10.3 HCON_00076500-00001
OG0002519: C03C11.2 HCON_00116140-00001
OG0002520: C03D6.3a HCON_00146220-00001
OG0002521: C03D6.4 HCON_00153760-00001
OG0002522: C03D6.8 HCON_00089420-00001
OG0002523: C03E10.4 HCON_00129010-00001
OG0002525: C03F11.1 HCON_00168520-00001
OG0002526: C03F11.3 HCON_00120730-00001
OG0002527: C03G5.7 HCON_00164350-00001
OG0002528: C03H12.1a HCON_00133590-00003
OG0002529: C03H5.2 HCON_00097630-00001
OG0002530: C03H5.6 HCON_00063040-00001
OG0002532: C04A11.3b HCON_00178470-00001
OG0002533: C04A11.4a HCON_00109610-00001
OG0002534: C04A2.1 HCON_00045990-00001
OG0002535: C04A2.15 HCON_00034620-00001
OG0002536: C04A2.3a HCON_00046000-00001
OG0002537: C04A2.7a HCON_00035380-00001
OG0002538: C04C3.2 HCON_00116720-00001
OG0002539: C04C3.3 HCON_00116730-00001
OG0002540: C04C3.5b HCON_00116740-00001
OG0002541: C04D8.1c HCON_00093770-00001
OG0002542: C04E6.11 HCON_00162830-00001
OG0002544: C04F1.3 HCON_00025140-00001
OG0002545: C04F12.10 HCON_00026970-00001
OG0002547: C04F12.3 HCON_00113900-00001
OG0002548: C04F12.4 HCON_00011760-00001
OG0002550: C04F12.8 HCON_00007960-00001
OG0002552: C04F5.3 HCON_00153820-00001
OG0002553: C04F5.8 HCON_00158900-00001
OG0002554: C04F6.3 HCON_00184490-00001
OG0002555: C04G2.6 HCON_00105510-00001
OG0002556: C04G6.3 HCON_00054320-00001
OG0002557: C04H5.1 HCON_00100410-00001
OG0002558: C04H5.6a HCON_00036500-00001
OG0002559: C05A2.1 HCON_00159110-00001
OG0002560: C05B10.1b HCON_00114270-00001
OG0002562: C05C10.3 HCON_00043600-00001
OG0002563: C05C10.6b HCON_00038900-00001
OG0002564: C05C12.3 HCON_00104260-00001
OG0002565: C05C12.6 HCON_00105055-00001
OG0002566: C05C8.1a HCON_00132220-00001
OG0002567: C05C8.2 HCON_00147940-00001
OG0002568: C05C8.3 HCON_00157030-00001
OG0002569: C05C8.4 HCON_00155050-00002
OG0002570: C05C8.5 HCON_00157490-00001
OG0002571: C05C8.7 HCON_00135310-00001
OG0002572: C05C8.9a HCON_00132210-00001
OG0002573: C05C9.1 HCON_00167720-00001
OG0002574: C05C9.2 HCON_00057580-00001
OG0002575: C05D10.1a HCON_00067040-00001
OG0002576: C05D10.2a HCON_00088960-00001
OG0002577: C05D10.3a HCON_00067980-00001
OG0002578: C05D10.4b HCON_00087520-00001
OG0002579: C05D11.1 HCON_00090485-00001
OG0002580: C05D11.10 HCON_00085730-00001
OG0002581: C05D11.11b HCON_00083280-00001
OG0002582: C05D11.12 HCON_00083290-00001
OG0002583: C05D11.2 HCON_00090480-00001
OG0002584: C05D11.3 HCON_00090470-00001
OG0002585: C05D11.4 HCON_00089700-00001
OG0002586: C05D11.5 HCON_00085820-00001
OG0002587: C05D11.6b HCON_00085800-00001
OG0002588: C05D11.7b HCON_00085760-00001
OG0002589: C05D11.8 HCON_00085750-00001
OG0002590: C05D11.9 HCON_00085740-00001
OG0002591: C05D12.7 HCON_00055170-00001
OG0002592: C05D2.10b HCON_00069070-00001
OG0002593: C05D2.1a HCON_00078240-00001
OG0002594: C05D2.6a HCON_00070600-00001
OG0002595: C05D9.2 HCON_00119950-00001
OG0002596: C05D9.3b HCON_00185370-00001
OG0002597: C05D9.5 HCON_00186170-00001
OG0002598: C05E11.1b HCON_00164310-00001
OG0002599: C05E11.3b HCON_00187940-00001
OG0002601: C05E11.8a HCON_00164300-00001
OG0002603: C05E4.9a HCON_00158670-00001
OG0002604: C05E7.2 HCON_00186270-00001
OG0002605: C05E7.4 HCON_00100900-00001
OG0002606: C05G5.1 HCON_00187720-00001
OG0002607: C05G5.3 HCON_00187690-00001
OG0002608: C05G5.4 HCON_00119120-00001
OG0002609: C05G5.5a HCON_00187670-00001
OG0002610: C05H8.1b HCON_00090660-00001
OG0002611: C06A1.2a HCON_00057160-00001
OG0002612: C06A1.5 HCON_00030110-00001
OG0002614: C06A12.3a HCON_00107450-00002
OG0002615: C06A12.5 HCON_00107520-00001
OG0002617: C06A5.1 HCON_00144850-00001
OG0002618: C06A5.11a HCON_00123910-00001
OG0002619: C06A5.3b HCON_00015790-00001
OG0002621: C06A5.7b HCON_00032080-00002
OG0002622: C06A6.2b HCON_00107590-00001
OG0002623: C06A6.3 HCON_00010330-00001
OG0002624: C06A6.5 HCON_00106950-00001
OG0002626: C06A8.1a HCON_00053400-00001
OG0002628: C06A8.5 HCON_00148720-00001
OG0002629: C06A8.6 HCON_00061370-00001
OG0002630: C06A8.8a HCON_00046525-00001
OG0002632: C06B8.7 HCON_00149750-00001
OG0002633: C06B8.8 HCON_00138220-00001
OG0002634: C06C3.1c HCON_00062140-00002
OG0002635: C06C3.3 HCON_00049350-00001
OG0002636: C06E1.10 HCON_00074130-00001
OG0002637: C06E1.3 HCON_00083770-00001
OG0002638: C06E1.8 HCON_00089480-00001
OG0002639: C06E1.9 HCON_00074120-00001
OG0002640: C06E4.7 HCON_00099445-00001
OG0002641: C06E7.2a HCON_00128230-00001
OG0002642: C06E7.4a HCON_00108080-00001
OG0002643: C06E7.88 HCON_00127920-00001
OG0002644: C06E8.3d HCON_00090130-00001
OG0002645: C06E8.5 HCON_00068920-00001
OG0002646: C06G1.1b HCON_00170460-00001
OG0002647: C06G3.10 HCON_00102420-00001
OG0002648: C06G3.1a HCON_00101910-00001
OG0002649: C06G3.2 HCON_00144840-00001
OG0002650: C06G3.5a HCON_00101920-00001
OG0002651: C06G3.7a HCON_00101940-00001
OG0002652: C06G3.8a HCON_00104130-00001
OG0002653: C06G3.9 HCON_00102410-00001
OG0002654: C06G4.2a HCON_00075820-00002
OG0002655: C06G4.5 HCON_00083420-00001
OG0002656: C06G8.1 HCON_00124740-00001
OG0002657: C06H2.1 HCON_00163120-00001
OG0002658: C06H2.2 HCON_00145070-00001
OG0002659: C06H2.3a HCON_00067580-00001
OG0002660: C06H2.5b HCON_00148450-00001
OG0002661: C06H2.6a HCON_00145060-00001
OG0002662: C06H5.6a HCON_00150450-00001
OG0002663: C06H5.7 HCON_00135950-00001
OG0002664: C07A12.7a HCON_00189970-00001
OG0002665: C07A9.2 HCON_00075770-00001
OG0002666: C07A9.3b HCON_00070240-00002
OG0002667: C07A9.6 HCON_00092310-00001
OG0002668: C07A9.7a HCON_00075775-00001
OG0002669: C07B5.4a HCON_00058170-00001
OG0002670: C07B5.5 HCON_00119620-00001
OG0002671: C07D10.2b HCON_00034610-00001
OG0002672: C07D10.4 HCON_00072080-00001
OG0002673: C07E3.1a HCON_00064180-00001
OG0002674: C07E3.2 HCON_00064190-00001
OG0002675: C07E3.6 HCON_00034410-00001
OG0002676: C07F11.1 HCON_00014520-00001
OG0002677: C07F11.2 HCON_00022310-00001
OG0002678: C07G1.1 HCON_00118260-00001
OG0002679: C07G1.3c HCON_00118470-00001
OG0002680: C07G1.4b HCON_00109150-00001
OG0002681: C07G1.5 HCON_00109160-00001
OG0002682: C07G2.2c HCON_00094875-00001
OG0002683: C07G2.3a HCON_00094870-00001
OG0002684: C07G3.10 HCON_00089630-00001
OG0002685: C07H4.1b HCON_00034800-00001
OG0002686: C07H4.2 HCON_00053445-00001
OG0002687: C07H6.1 HCON_00087840-00001
OG0002688: C07H6.2 HCON_00020107-00001
OG0002689: C07H6.4 HCON_00083260-00001
OG0002690: C07H6.5 HCON_00076810-00001
OG0002691: C07H6.6 HCON_00069380-00001
OG0002692: C07H6.7 HCON_00087850-00001
OG0002693: C07H6.8 HCON_00069390-00001
OG0002694: C08B11.1 HCON_00047240-00001
OG0002695: C08B11.2 HCON_00047140-00001
OG0002696: C08B11.3a HCON_00047130-00001
OG0002697: C08B11.4 HCON_00047110-00001
OG0002698: C08B11.5 HCON_00047105-00001
OG0002699: C08B11.6 HCON_00047100-00001
OG0002700: C08B11.7 HCON_00043920-00001
OG0002701: C08B11.8 HCON_00106865-00001
OG0002702: C08B11.9 HCON_00047090-00001
OG0002703: C08B6.7b HCON_00132410-00001
OG0002704: C08B6.8a HCON_00046290-00001
OG0002705: C08B6.9 HCON_00132420-00001
OG0002706: C08C3.1b HCON_00084790-00001
OG0002707: C08C3.3 HCON_00084880-00001
OG0002708: C08C3.4a HCON_00074150-00001
OG0002709: C08D8.2b HCON_00143620-00001
OG0002712: C08F8.1a HCON_00112190-00001
OG0002713: C08F8.2b HCON_00050040-00001
OG0002714: C08F8.8 HCON_00112210-00001
OG0002715: C08G5.4a HCON_00058900-00001
OG0002716: C08G5.6 HCON_00054220-00001
OG0002717: C08G5.7a HCON_00058890-00001
OG0002718: C08G9.1 HCON_00118520-00001
OG0002719: C08G9.2 HCON_00130415-00001
OG0002720: C08H9.15 HCON_00059000-00001
OG0002721: C08H9.16 HCON_00035300-00001
OG0002722: C08H9.2a HCON_00035290-00001
OG0002723: C08H9.3a HCON_00034930-00001
OG0002724: C09B7.1a HCON_00011320-00001
OG0002725: C09B8.3 HCON_00164630-00001
OG0002726: C09B8.6a HCON_00090020-00001
OG0002727: C09B8.7a HCON_00186860-00001
OG0002728: C09B8.8 HCON_00048870-00001
OG0002729: C09B9.1 HCON_00108730-00001
OG0002731: C09B9.4 HCON_00141200-00001
OG0002732: C09B9.8a HCON_00107830-00001
OG0002733: C09D1.1b HCON_00023020-00001
OG0002734: C09D4.1a HCON_00022510-00001
OG0002735: C09D4.2 HCON_00185510-00001
OG0002736: C09D4.4c HCON_00004990-00002
OG0002737: C09D4.5 HCON_00189730-00001
OG0002738: C09D8.1j HCON_00036380-00001
OG0002739: C09E10.2b HCON_00167190-00001
OG0002740: C09E7.10 HCON_00021930-00001
OG0002742: C09E7.3 HCON_00021970-00001
OG0002743: C09E8.1a HCON_00055430-00001
OG0002744: C09E8.2a HCON_00007770-00001
OG0002745: C09E9.1a HCON_00112750-00001
OG0002746: C09F12.2 HCON_00190040-00001
OG0002747: C09F12.3 HCON_00167825-00001
OG0002748: C09F5.1a HCON_00067250-00001
OG0002749: C09F5.2a HCON_00067510-00002
OG0002750: C09F5.3 HCON_00027770-00001
OG0002752: C09F9.2 HCON_00036620-00001
OG0002754: C09G1.4 HCON_00189560-00001
OG0002755: C09G12.1 HCON_00125350-00001
OG0002757: C09G12.8b HCON_00101255-00001
OG0002758: C09G12.9 HCON_00101250-00001
OG0002759: C09G4.1b HCON_00121280-00001
OG0002760: C09G4.2c HCON_00131020-00001
OG0002761: C09G4.3 HCON_00114600-00001
OG0002762: C09G4.5 HCON_00114620-00001
OG0002763: C09G5.1 HCON_00033720-00001
OG0002764: C09G5.2a HCON_00033790-00001
OG0002765: C09G5.8a HCON_00058430-00001
OG0002766: C09G9.1a HCON_00116990-00001
OG0002767: C09G9.2a HCON_00116970-00001
OG0002768: C09G9.5a HCON_00096400-00001
OG0002769: C09H10.10a HCON_00061590-00001
OG0002770: C09H10.2 HCON_00061580-00001
OG0002771: C09H10.3 HCON_00194290-00001
OG0002772: C09H10.8 HCON_00063260-00001
OG0002773: C09H10.9 HCON_00118640-00001
OG0002774: C09H6.2a HCON_00020370-00001
OG0002775: C09H6.3 HCON_00020380-00001
OG0002776: C10A4.8 HCON_00181340-00001
OG0002777: C10B5.1 HCON_00152367-00001
OG0002778: C10B5.3 HCON_00144700-00002
OG0002779: C10C5.1g HCON_00102210-00002
OG0002780: C10C5.6c HCON_00104650-00001
OG0002781: C10C6.1g HCON_00064400-00002
OG0002782: C10C6.2 HCON_00122600-00001
OG0002783: C10C6.6 HCON_00128760-00001
OG0002784: C10C6.7b HCON_00125800-00001
OG0002785: C10E2.3a HCON_00185290-00001
OG0002786: C10E2.5 HCON_00182290-00001
OG0002787: C10F3.1 HCON_00163175-00001
OG0002788: C10F3.2 HCON_00161950-00001
OG0002789: C10F3.3 HCON_00155980-00001
OG0002790: C10F3.4b HCON_00155920-00001
OG0002791: C10F3.5a HCON_00155910-00001
OG0002792: C10F3.6 HCON_00151670-00001
OG0002793: C10F3.7 HCON_00123775-00001
OG0002794: C10G11.5a HCON_00016520-00001
OG0002795: C10G11.7a HCON_00016560-00001
OG0002796: C10G11.8 HCON_00065220-00001
OG0002797: C10G6.1a HCON_00117990-00001
OG0002798: C10G8.5a HCON_00133900-00003
OG0002799: C10G8.6 HCON_00152240-00001
OG0002800: C10G8.8a HCON_00152250-00001
OG0002801: C10H11.1 HCON_00028370-00001
OG0002802: C10H11.8a HCON_00193580-00002
OG0002803: C10H11.9 HCON_00028380-00001
OG0002804: C11D2.4 HCON_00097830-00001
OG0002805: C11D2.6m HCON_00107240-00001
OG0002806: C11D2.7 HCON_00097840-00001
OG0002807: C11D9.1 HCON_00028720-00001
OG0002808: C11E4.3a HCON_00189300-00001
OG0002809: C11E4.6 HCON_00189330-00001
OG0002810: C11E4.8a HCON_00164610-00001
OG0002811: C11G10.1 HCON_00164490-00001
OG0002812: C11H1.3 HCON_00049220-00001
OG0002813: C11H1.4a HCON_00148120-00001
OG0002814: C11H1.5 HCON_00165440-00001
OG0002815: C11H1.9 HCON_00105310-00001
OG0002816: C12C8.2a HCON_00023450-00001
OG0002817: C12C8.3a HCON_00023440-00001
OG0002818: C12D12.1c HCON_00115800-00001
OG0002819: C12D12.2a HCON_00058990-00001
OG0002820: C12D8.11 HCON_00110610-00001
